,num_words,word_list_size,chars_between,mod_probability,symbol_guesses,total_strength,days_to_crack
309,2,3500,4,0.6,10,20572159999.999996,2.3810370370370362e-06
310,2,3500,4,0.7,10,26764902500.0,3.0977896412037036e-06
311,2,3500,4,0.8,10,33771289999.999996,3.90871412037037e-06
312,2,3600,2,0.5,10,8232840000.0,9.52875e-07
313,2,3600,2,0.6,10,11147673599.999998,1.2902399999999998e-06
314,2,3600,2,0.7,10,14503406400.0,1.6786349999999998e-06
315,2,3600,2,0.8,10,18300038400.0,2.11806e-06
316,2,3600,3,0.5,10,12153240000.0,1.406625e-06
317,2,3600,3,0.6,10,16456089599.999998,1.9046399999999998e-06
318,2,3600,3,0.7,10,21409790400.0,2.477985e-06
319,2,3600,3,0.8,10,27014342399.999996,3.12666e-06
320,2,3600,4,0.5,10,16073640000.0,1.860375e-06
321,2,3600,4,0.6,10,21764505599.999996,2.5190399999999998e-06
322,2,3600,4,0.7,10,28316174400.0,3.277335e-06
323,2,3600,4,0.8,10,35728646400.0,4.135260000000001e-06
324,2,3700,2,0.5,10,8696572500.0,1.0065477430555555e-06
325,2,3700,2,0.6,10,11775590399.999998,1.3629155555555553e-06
326,2,3700,2,0.7,10,15320342100.0,1.7731877430555555e-06
327,2,3700,2,0.8,10,19330827600.0,2.2373643055555557e-06
328,2,3700,3,0.5,10,12837797500.0,1.4858561921296297e-06
329,2,3700,3,0.6,10,17383014399.999996,2.0119229629629624e-06
330,2,3700,3,0.7,10,22615743100.0,2.6175628587962964e-06
331,2,3700,3,0.8,10,28535983599.999996,3.3027758796296295e-06
332,2,3700,4,0.5,10,16979022500.0,1.9651646412037036e-06
333,2,3700,4,0.6,10,22990438399.999996,2.66093037037037e-06
334,2,3700,4,0.7,10,29911144100.0,3.461937974537037e-06
335,2,3700,4,0.8,10,37741139600.0,4.368187453703704e-06
336,2,3800,2,0.5,10,9173010000.0,1.061690972222222e-06
337,2,3800,2,0.6,10,12420710399.999998,1.437582222222222e-06
338,2,3800,2,0.7,10,16159659600.0,1.8703309722222223e-06
339,2,3800,2,0.8,10,20389857600.0,2.3599372222222222e-06
340,2,3800,3,0.5,10,13541110000.0,1.5672581018518519e-06
341,2,3800,3,0.6,10,18335334399.999996,2.122145185185185e-06
342,2,3800,3,0.7,10,23854735600.0,2.7609647685185184e-06
343,2,3800,3,0.8,10,30099313599.999996,3.4837168518518513e-06
344,2,3800,4,0.5,10,17909210000.0,2.0728252314814815e-06
345,2,3800,4,0.6,10,24249958399.999996,2.806708148148148e-06
346,2,3800,4,0.7,10,31549811600.0,3.6515985648148146e-06
347,2,3800,4,0.8,10,39808769600.0,4.607496481481481e-06
348,2,3900,2,0.5,10,9662152500.0,1.1183046875e-06
349,2,3900,2,0.6,10,13083033599.999998,1.5142399999999999e-06
350,2,3900,2,0.7,10,17021358900.0,1.9700646875e-06
351,2,3900,2,0.8,10,21477128400.0,2.48577875e-06
352,2,3900,3,0.5,10,14263177500.0,1.6508307291666666e-06
353,2,3900,3,0.6,10,19313049599.999996,2.235306666666666e-06
354,2,3900,3,0.7,10,25126767900.0,2.908190729166667e-06
355,2,3900,3,0.8,10,31704332399.999996,3.6694829166666662e-06
356,2,3900,4,0.5,10,18864202500.0,2.1833567708333333e-06
357,2,3900,4,0.6,10,25543065599.999996,2.956373333333333e-06
358,2,3900,4,0.7,10,33232176900.0,3.8463167708333334e-06
359,2,3900,4,0.8,10,41931536400.0,4.853187083333334e-06
360,2,4000,2,0.5,10,10164000000.0,1.1763888888888889e-06
361,2,4000,2,0.6,10,13762559999.999998,1.5928888888888888e-06
362,2,4000,2,0.7,10,17905440000.0,2.072388888888889e-06
363,2,4000,2,0.8,10,22592640000.0,2.6148888888888887e-06
364,2,4000,3,0.5,10,15004000000.0,1.736574074074074e-06
365,2,4000,3,0.6,10,20316159999.999996,2.351407407407407e-06
366,2,4000,3,0.7,10,26431840000.0,3.0592407407407407e-06
367,2,4000,3,0.8,10,33351039999.999996,3.860074074074074e-06
368,2,4000,4,0.5,10,19844000000.0,2.2967592592592593e-06
369,2,4000,4,0.6,10,26869759999.999996,3.1099259259259256e-06
370,2,4000,4,0.7,10,34958240000.0,4.046092592592593e-06
371,2,4000,4,0.8,10,44109440000.0,5.10525925925926e-06
372,2,4100,2,0.5,10,10678552500.0,1.235943576388889e-06
373,2,4100,2,0.6,10,14459289599.999998,1.6735288888888886e-06
374,2,4100,2,0.7,10,18811902900.0,2.1773035763888887e-06
375,2,4100,2,0.8,10,23736392400.0,2.7472676388888887e-06
376,2,4100,3,0.5,10,15763577500.0,1.824488136574074e-06
377,2,4100,3,0.6,10,21344665599.999996,2.470447407407407e-06
378,2,4100,3,0.7,10,27769951900.0,3.2141148032407406e-06
379,2,4100,3,0.8,10,35039436400.0,4.055490324074074e-06
380,2,4100,4,0.5,10,20848602500.0,2.413032696759259e-06
381,2,4100,4,0.6,10,28230041599.999996,3.2673659259259254e-06
382,2,4100,4,0.7,10,36728000900.0,4.2509260300925926e-06
383,2,4100,4,0.8,10,46342480400.0,5.36371300925926e-06
384,2,4200,2,0.5,10,11205810000.0,1.29696875e-06
385,2,4200,2,0.6,10,15173222399.999998,1.7561599999999998e-06
386,2,4200,2,0.7,10,19740747600.0,2.28480875e-06
387,2,4200,2,0.8,10,24908385600.0,2.8829149999999997e-06
388,2,4200,3,0.5,10,16541910000.0,1.914572916666667e-06
389,2,4200,3,0.6,10,22398566399.999996,2.5924266666666665e-06
390,2,4200,3,0.7,10,29141103600.0,3.372812916666667e-06
391,2,4200,3,0.8,10,36769521600.0,4.255731666666667e-06
392,2,4200,4,0.5,10,21878010000.0,2.5321770833333334e-06
393,2,4200,4,0.6,10,29623910399.999996,3.428693333333333e-06
394,2,4200,4,0.7,10,38541459600.0,4.460817083333334e-06
395,2,4200,4,0.8,10,48630657600.0,5.628548333333333e-06
396,2,4300,2,0.5,10,11745772500.0,1.3594644097222222e-06
397,2,4300,2,0.6,10,15904358399.999998,1.8407822222222222e-06
398,2,4300,2,0.7,10,20691974100.0,2.394904409722222e-06
399,2,4300,2,0.8,10,26108619599.999996,3.0218309722222213e-06
400,2,4300,3,0.5,10,17338997500.0,2.006828414351852e-06
401,2,4300,3,0.6,10,23477862399.999996,2.717345185185185e-06
402,2,4300,3,0.7,10,30545295100.0,3.535335081018518e-06
403,2,4300,3,0.8,10,38541295600.0,4.460798101851851e-06
404,2,4300,4,0.5,10,22932222500.0,2.6541924189814814e-06
405,2,4300,4,0.6,10,31051366399.999996,3.5939081481481477e-06
406,2,4300,4,0.7,10,40398616100.0,4.675765752314815e-06
407,2,4300,4,0.8,10,50973971599.99999,5.89976523148148e-06
408,2,4400,2,0.5,10,12298440000.0,1.4234305555555556e-06
409,2,4400,2,0.6,10,16652697599.999998,1.9273955555555554e-06
